"Donor","Donor_Name","HOMO/D","LUMO/D","Acceptor","Acceptor_Name","HOMO/A","LUMO/A","Voc","Jsc","FF","PCE","reference"
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCCCCC1=C(SC2=C1SC3=C2N(C4=C3C5=NSN=C5C6=C4N(C7=C6SC8=C7SC(/C=C9C(C%10=CC(F)=C(C=C%10C\9=C(C#N)/C#N)F)=O)=C8CCCCCCCCCCC)CC(CCCCCC)CCCC)CC(CCCCCC)CCCC)/C=C%11C(C%12=CC=C(C(C(F)=C%13F)=CC=C%13F)C=C%12C\%11=C(C#N)/C#N)=O","BTP-γ-Ar3F","-5.64","-3.85","0.904","25.72","0.7492","17.42","Z. Li, Z. Xu, S. Chen, J. Yao, H. Fu, M. Zhang, Y. Bai, H. Wang, Z. Liu, Z.-G. Zhang, Asymmetric nonfullerene acceptors with isomeric trifluorobenzene-substitution for high-performance organic solar cells. J. Mater. Chem. A (2023), doi:10.1039/D2TA09858J."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=CC(C4=CC=C(F)C(F)=C4F)=CC=C3C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1CCCCCCCCCCC","BTP-β-Ar3F","-5.66","-3.87","0.898","24.93","0.7396","16.56","Z. Li, Z. Xu, S. Chen, J. Yao, H. Fu, M. Zhang, Y. Bai, H. Wang, Z. Liu, Z.-G. Zhang, Asymmetric nonfullerene acceptors with isomeric trifluorobenzene-substitution for high-performance organic solar cells. J. Mater. Chem. A (2023), doi:10.1039/D2TA09858J."
"CCCCCCCCC(CCCCCC)CN1C(=O)C2=CC(C3=CC=C(C4=CC=C5C(=C4)C(=O)N(CC(CCCCCC)CCCCCCCC)C4=C5SC(C5=CC6=C(C7=CC(F)=C(CC(CC)CCCC)S7)C7=C(C=C(C)S7)C(C7=CC(F)=C(CC(CC)CCCC)S7)=C6S5)=C4)S3)=CC=C2C2=C1C=C(C)S2","PFBDT-BTQ","-5.58","-3.43","CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3)C=C1","IT-4F","-5.59","-4.06","0.9","17.01","0.5566","8.55","J.-W. Ha, J. G. Jung, D. H. Ryu, S. Lee, C. E. Song, B. Lim, Y. J. Jung, J. M. Park, D.-H. Hwang, Thienoquinolinone-based acceptor-π-acceptor-type building block for polymer donors in organic solar cells. Macromol. Res. (2023), doi:10.1007/s13233-023-00112-1."
"CCCCCCCCC(CCCCCC)CN1C(=O)C2=CC(C3=CC=C(C4=CC=C5C(=C4)C(=O)N(CC(CCCCCC)CCCCCCCC)C4=C5SC(C5=CC6=C(C7=CC=C(CC(CC)CCCC)S7)C7=C(C=C(C)S7)C(C7=CC=C(CC(CC)CCCC)S7)=C6S5)=C4)S3)=CC=C2C2=C1C=C(C)S2","PBDT-BTQ","-5.45","-3.47","CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3)C=C1","IT-4F","-5.59","-4.06","0.86","18.27","0.5425","8.5","J.-W. Ha, J. G. Jung, D. H. Ryu, S. Lee, C. E. Song, B. Lim, Y. J. Jung, J. M. Park, D.-H. Hwang, Thienoquinolinone-based acceptor-π-acceptor-type building block for polymer donors in organic solar cells. Macromol. Res. (2023), doi:10.1007/s13233-023-00112-1."
"CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(C3=CC4=C(C5=CC=C(CC(CC)CCCC)C=C5)C5=C(C=C(C)O5)C(C5=CC=C(CC(CC)CCCC)C=C5)=C4O3)S1)=C(F)C(F)=C2C1=CC=C(C)S1","P–P","-5.33","-3.39","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC","Y6","-5.65","-4.1","0.616","24.2","0.5432","9.49","Z. Zheng, E. He, Y. Lu, Y. Yin, X. Pang, F. Guo, S. Gao, L. Zhao, Y. Zhang, Benzo[1,2-b:4,5-b′]difuran Polymer-Based Non-Fullerene Organic Solar Cells: The Roles of Non-Fullerene Acceptors and Molybdenum Oxide on Their Ambient Stabilities and Processabilities. ACS Appl. Mater. Interfaces. 13, 15448–15458 (2021)."
"CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(C3=CC4=C(C5=CC=C(CC(CC)CCCC)C=C5)C5=C(C=C(C)O5)C(C5=CC=C(CC(CC)CCCC)C=C5)=C4O3)S1)=C(F)C(F)=C2C1=CC=C(C)S1","P–P","-5.33","-3.39","CCCCCCC1=CC=CC(C2(C3=CC=CC(CCCCCC)=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=CC(CCCCCC)=C2)(C2=CC(CCCCCC)=CC=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=CC=C4)C2=C(C#N)C#N)=C3)=C1","m-ITIC","-5.52","-3.82","0.8","16.25","0.5629","8.28","Z. Zheng, E. He, Y. Lu, Y. Yin, X. Pang, F. Guo, S. Gao, L. Zhao, Y. Zhang, Benzo[1,2-b:4,5-b′]difuran Polymer-Based Non-Fullerene Organic Solar Cells: The Roles of Non-Fullerene Acceptors and Molybdenum Oxide on Their Ambient Stabilities and Processabilities. ACS Appl. Mater. Interfaces. 13, 15448–15458 (2021)."
"CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(C3=CC4=C(C5=CC(F)=C(CC(CC)CCCC)S5)C5=C(C=C(C)O5)C(C5=CC(F)=C(CC(CC)CCCC)S5)=C4O3)S1)=C(F)C(F)=C2C1=CC=C(C)S1","P-FT","-5.48","-3.48","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC","Y6","-5.65","-4.1","0.74","19.25","0.7041","10.61","Z. Zheng, E. He, Y. Lu, Y. Yin, X. Pang, F. Guo, S. Gao, L. Zhao, Y. Zhang, Benzo[1,2-b:4,5-b′]difuran Polymer-Based Non-Fullerene Organic Solar Cells: The Roles of Non-Fullerene Acceptors and Molybdenum Oxide on Their Ambient Stabilities and Processabilities. ACS Appl. Mater. Interfaces. 13, 15448–15458 (2021)."
"CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(C3=CC4=C(C5=CC(F)=C(CC(CC)CCCC)S5)C5=C(C=C(C)O5)C(C5=CC(F)=C(CC(CC)CCCC)S5)=C4O3)S1)=C(F)C(F)=C2C1=CC=C(C)S1","P-FT","-5.48","-3.48","CCCCCCC1=CC=CC(C2(C3=CC=CC(CCCCCC)=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=CC(CCCCCC)=C2)(C2=CC(CCCCCC)=CC=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=CC=C4)C2=C(C#N)C#N)=C3)=C1","m-ITIC","-5.52","-3.82","0.91","17.44","0.6846","11.43","Z. Zheng, E. He, Y. Lu, Y. Yin, X. Pang, F. Guo, S. Gao, L. Zhao, Y. Zhang, Benzo[1,2-b:4,5-b′]difuran Polymer-Based Non-Fullerene Organic Solar Cells: The Roles of Non-Fullerene Acceptors and Molybdenum Oxide on Their Ambient Stabilities and Processabilities. ACS Appl. Mater. Interfaces. 13, 15448–15458 (2021)."
"CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(C3=CC4=C(C5=CC(Cl)=C(CC(CC)CCCC)S5)C5=C(C=C(C)O5)C(C5=CC(Cl)=C(CC(CC)CCCC)S5)=C4O3)S1)=C(F)C(F)=C2C1=CC=C(C)S1","P-ClT","-5.5","-3.55","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC","Y6","-5.65","-4.1","0.77","19.71","0.7012","11.03","Z. Zheng, E. He, Y. Lu, Y. Yin, X. Pang, F. Guo, S. Gao, L. Zhao, Y. Zhang, Benzo[1,2-b:4,5-b′]difuran Polymer-Based Non-Fullerene Organic Solar Cells: The Roles of Non-Fullerene Acceptors and Molybdenum Oxide on Their Ambient Stabilities and Processabilities. ACS Appl. Mater. Interfaces. 13, 15448–15458 (2021)."
"CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(C3=CC4=C(C5=CC(Cl)=C(CC(CC)CCCC)S5)C5=C(C=C(C)O5)C(C5=CC(Cl)=C(CC(CC)CCCC)S5)=C4O3)S1)=C(F)C(F)=C2C1=CC=C(C)S1","P-ClT","-5.5","-3.55","CCCCCCC1=CC=CC(C2(C3=CC=CC(CCCCCC)=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=CC(CCCCCC)=C2)(C2=CC(CCCCCC)=CC=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=CC=C4)C2=C(C#N)C#N)=C3)=C1","m-ITIC","-5.52","-3.82","0.92","16.7","0.7156","11.61","Z. Zheng, E. He, Y. Lu, Y. Yin, X. Pang, F. Guo, S. Gao, L. Zhao, Y. Zhang, Benzo[1,2-b:4,5-b′]difuran Polymer-Based Non-Fullerene Organic Solar Cells: The Roles of Non-Fullerene Acceptors and Molybdenum Oxide on Their Ambient Stabilities and Processabilities. ACS Appl. Mater. Interfaces. 13, 15448–15458 (2021)."
"CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(C3=CC4=C(C5=CC(F)=C(CC(CC)CCCC)C(F)=C5)C5=C(C=C(C)O5)C(C5=CC(F)=C(CC(CC)CCCC)C(F)=C5)=C4O3)S1)=C(F)C(F)=C2C1=CC=C(C)S1","P–4FP","-5.54","-3.61","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC","Y6","-5.65","-4.1","0.8","22.61","0.7028","13.34","Z. Zheng, E. He, Y. Lu, Y. Yin, X. Pang, F. Guo, S. Gao, L. Zhao, Y. Zhang, Benzo[1,2-b:4,5-b′]difuran Polymer-Based Non-Fullerene Organic Solar Cells: The Roles of Non-Fullerene Acceptors and Molybdenum Oxide on Their Ambient Stabilities and Processabilities. ACS Appl. Mater. Interfaces. 13, 15448–15458 (2021)."
"CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(C3=CC4=C(C5=CC(F)=C(CC(CC)CCCC)C(F)=C5)C5=C(C=C(C)O5)C(C5=CC(F)=C(CC(CC)CCCC)C(F)=C5)=C4O3)S1)=C(F)C(F)=C2C1=CC=C(C)S1","P–4FP","-5.54","-3.61","CCCCCCC1=CC=CC(C2(C3=CC=CC(CCCCCC)=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=CC(CCCCCC)=C2)(C2=CC(CCCCCC)=CC=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=CC=C4)C2=C(C#N)C#N)=C3)=C1","m-ITIC","-5.52","-3.82","0.96","15.72","0.5766","8.86","Z. Zheng, E. He, Y. Lu, Y. Yin, X. Pang, F. Guo, S. Gao, L. Zhao, Y. Zhang, Benzo[1,2-b:4,5-b′]difuran Polymer-Based Non-Fullerene Organic Solar Cells: The Roles of Non-Fullerene Acceptors and Molybdenum Oxide on Their Ambient Stabilities and Processabilities. ACS Appl. Mater. Interfaces. 13, 15448–15458 (2021)."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C4C=C(F)C(F)=CC4=C3)C2=C(C#N)C#N)[Se]C2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2[Se]C(/C=C2\C(=O)C3=C(C=C4C=C(F)C(F)=CC4=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC","","-5.68","-4.03","0.839","27.55","0.759","17.54","J. Chen, D. Li, M. Su, Y. Xiao, H. Chen, M. Lin, X. Qiao, L. Dang, X.-C. Huang, F. He, Q. Wu, A Multifluorination Strategy Toward Wide Bandgap Polymers for Highly Efficient Organic Solar Cells. Angewandte Chemie International Edition. n/a, e202215930."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCC(CCCC)CC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CC(CCCC)CCCCCC","","-5.73","-3.95","0.886","25.91","0.797","18.3","J. Chen, D. Li, M. Su, Y. Xiao, H. Chen, M. Lin, X. Qiao, L. Dang, X.-C. Huang, F. He, Q. Wu, A Multifluorination Strategy Toward Wide Bandgap Polymers for Highly Efficient Organic Solar Cells. Angewandte Chemie International Edition. n/a, e202215930."
